YEAR,STATE,DISTRICT,Rainfall (mm),Total Geographical Area (ha) - Recharge Worthy Area (ha).3,Total Geographical Area (ha) - Hilly Area,Total Geographical Area (ha),Ground Water Recharge (ham) - Rainfall Recharge.3,Ground Water Recharge (ham) - Canals.3,Ground Water Recharge (ham) - Surface Water Irrigation.3,Ground Water Recharge (ham) - Ground Water Irrigation.3,Ground Water Recharge (ham) - Tanks and Ponds.3,Ground Water Recharge (ham) - Water Conservation Structure.3,Ground Water Recharge (ham),Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ha.m) - Domestic.3,Ground Water Extraction for all uses (ha.m) - Industrial.3,Ground Water Extraction for all uses (ha.m) - Irrigation.3,Ground Water Extraction for all uses (ha.m),Stage of Ground Water Extraction (%),Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham).1 - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham).1 - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham).1 - Saline
2025,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,3015.7,58040,286106,344146,16376.36,0,0,0,151.9,0,16528.26,16528.26,1652.84,14875.42,262.063065,83.24452468,0.804,346.11,2.32672422,269.19,14522.18,0,0,14875.42,0,14875.42,0
2025,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805.2,38075,156091,194166,11344.64,0,0,0,16.14,0,11360.78,11360.78,1136.09,10224.69,91.4396175,0.945722795,0.253,92.6,0.902520701,90.68,9819.28,0,0,9911.13,313.56,9911.13,313.56
2025,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3015.7,31524,215321,246845,10777.26,0,0,0,20.46,0,10797.72,10797.72,1079.76,9717.96,322.8561875,13.6100975,10.647,347.12,3.571943083,331.62,9362.07,0,0,9717.96,0,9717.96,0
2025,ANDHRA PRADESH,Alluri Sitharama Raju,1257.832755,639234.676,586107.7108,1225342.387,46193.79,0,3291.54,15.7,68.13,3186.902,52755.61,52755.61,2638.05,50117.56,1579.663242,0,566.4885526,2146.48,4.282890069,2173.35,47784.38,0,0,50117.56,0,50117.56,0
2025,ANDHRA PRADESH,Anakapalli,1182.552833,346480.6599,82764.41,429245.0699,35193.12,2015.7,25957.56,3221.79,2040.24,4455.624,72897.45,72897.45,3645.22,69252.24,4957.87603,489.457,16276.53992,21723.97,31.3693391,8163.16,45060.58,1247986.28,0,1317238.51,0,1317238.51,0
2025,ANDHRA PRADESH,Ananthapuramu,515.0271561,946479.33,97831.67,1044311,42309.44,8479.5,7387.84,8421.19,5491.6,54030.682,126120.02,126120.02,6306.09,119813.93,3466.8,727.292,37624.86743,41819.1,34.90337058,3466.8,78907.83,0,0,119813.93,0,119813.93,0
2025,ANDHRA PRADESH,Annamayya,748.1451404,666066,128462,794528,47530.47,28.89,1028.65,8234,8481.46,24089.376,89392.83,89392.83,4469.87,84922.96,3825.76596,137.748,29286.35835,33249.92,39.15303941,4539.7,51486.28,0,0,84922.96,0,84922.96,0
2025,ANDHRA PRADESH,Bapatla,826.5172888,380118,2767,382885,31662.18,9790.95,51449.49,3570.11,938.61,6858.014,104269.44,104269.44,5213.55,99055.89,2387.043772,63.9416,15511.65154,17962.58,25.7269531,2590.29,51238.99,722005.07,246755.29,791030.51,276785.74,791030.51,276785.74
2025,ANDHRA PRADESH,Chittoor,906.2877831,600450.95,85448.05,685899,53652.39,0,470.84,11207.68,7593.35,10102.546,83026.46,83026.46,4151.47,78874.99,4286.803083,1413.4292,37804.69098,43504.74,55.15657118,6210.52,35646.03,3225230.86,0,3304105.86,0,3304105.86,0
2025,ANDHRA PRADESH,East Godavari,1144.702639,254552.8122,3081.92,257634.7322,28298.83,14267.89,44449.68,7536.35,15610.56,2720.296,112883.33,112883.33,5644.3,107239.03,2315.891384,1312.65006,32622.11063,36250.71,33.80365339,2811.46,71814.87,0,0,107239.03,0,107239.03,0
2025,ANDHRA PRADESH,Eluru,1079.01949,649190.0655,10631.8045,659821.87,67256.55,11520.08,46842.07,9982.06,24132.94,11623.708,171357.23,171357.23,8567.96,162789.28,10194.60031,516.96,37033.91894,47745.28,34.84283993,11872.9,89548.77,4299127.2,767183.4,4436043,793056.85,4436043,793056.85
2025,ANDHRA PRADESH,Guntur,895.1132922,242332.86,2971,245303.86,20889.98,14480.02,26469.13,1895.21,759.85,475.356,64969.58,64969.58,3248.44,61721.14,2588.569564,230.0885,7928.742493,10747.36,21.07709275,3064.74,39592.76,425280.05,368173.38,476056.55,379118.02,476056.55,379118.02
